Befragtennummer;Erhebungsmonat;Erhebungswoche;Bundesland;Erhebungsgebiet;Einwohner;Polit_interesse
300664;Juli;30. Woche, Juli 2021;Thüringen;Befragungsgebiet neue Bundesländer;bis 10 000 Einwohner;stark
300665;Juli;30. Woche, Juli 2021;Brandenburg;Befragungsgebiet neue Bundesländer;bis 50 000 Einwohner;etwas
300666;Juli;30. Woche, Juli 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 5 000 Einwohner;etwas
300667;Juli;30. Woche, Juli 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 5 000 Einwohner;etwas
300668;Juli;30. Woche, Juli 2021;Berlin-Ost;Befragungsgebiet neue Bundesländer;über 500 000 Einwohner;gar nicht
300669;Juli;30. Woche, Juli 2021;Sachsen-Anhalt;Befragungsgebiet neue Bundesländer;bis 20 000 Einwohner;stark
300670;Juli;30. Woche, Juli 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;über 500 000 Einwohner;Sehr stark
300671;Juli;30. Woche, Juli 2021;Niedersachsen;Befragungsgebiet alte Bundesländer;bis 5 000 Einwohner;Sehr stark
300672;Juli;30. Woche, Juli 2021;Sachsen;Befragungsgebiet neue Bundesländer;bis 5 000 Einwohner;Sehr stark
300673;Juli;30. Woche, Juli 2021;Thüringen;Befragungsgebiet neue Bundesländer;bis 500 000 Einwohner;etwas
300674;Juli;30. Woche, Juli 2021;Niedersachsen;Befragungsgebiet alte Bundesländer;bis 100 000 Einwohner;kaum
300675;Juli;30. Woche, Juli 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 10 000 Einwohner;etwas
300676;Juli;30. Woche, Juli 2021;Berlin-Ost;Befragungsgebiet neue Bundesländer;über 500 000 Einwohner;stark
300677;Juli;30. Woche, Juli 2021;Thüringen;Befragungsgebiet neue Bundesländer;bis 2 000 Einwohner;stark
300678;Juli;30. Woche, Juli 2021;Sachsen;Befragungsgebiet neue Bundesländer;bis 5 000 Einwohner;etwas
300679;Juli;30. Woche, Juli 2021;Rheinland-Pfalz;Befragungsgebiet alte Bundesländer;bis 5 000 Einwohner;Sehr stark
300680;Juli;30. Woche, Juli 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 10 000 Einwohner;stark
300681;Juli;30. Woche, Juli 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 50 000 Einwohner;stark
300682;Juli;30. Woche, Juli 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 100 000 Einwohner;Sehr stark
300683;Juli;30. Woche, Juli 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 2 000 Einwohner;etwas
300684;Juli;30. Woche, Juli 2021;Niedersachsen;Befragungsgebiet alte Bundesländer;bis 20 000 Einwohner;stark
300685;Juli;30. Woche, Juli 2021;Niedersachsen;Befragungsgebiet alte Bundesländer;bis 50 000 Einwohner;etwas
300686;Juli;30. Woche, Juli 2021;Sachsen;Befragungsgebiet neue Bundesländer;bis 5 000 Einwohner;etwas
300687;Juli;30. Woche, Juli 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 10 000 Einwohner;stark
300688;Juli;30. Woche, Juli 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 20 000 Einwohner;etwas
300689;Juli;30. Woche, Juli 2021;Hessen;Befragungsgebiet alte Bundesländer;bis 10 000 Einwohner;stark
300690;Juli;30. Woche, Juli 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 500 000 Einwohner;Sehr stark
300691;Juli;30. Woche, Juli 2021;Hessen;Befragungsgebiet alte Bundesländer;bis 2 000 Einwohner;kaum
300692;Juli;30. Woche, Juli 2021;Sachsen;Befragungsgebiet neue Bundesländer;über 500 000 Einwohner;Sehr stark
300693;Juli;30. Woche, Juli 2021;Niedersachsen;Befragungsgebiet alte Bundesländer;bis 500 000 Einwohner;Sehr stark
300694;Juli;30. Woche, Juli 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 5 000 Einwohner;Sehr stark
300695;Juli;30. Woche, Juli 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 500 000 Einwohner;stark
300696;Juli;30. Woche, Juli 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 50 000 Einwohner;Sehr stark
300697;Juli;30. Woche, Juli 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;KA;etwas
300698;Juli;30. Woche, Juli 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 10 000 Einwohner;stark
300699;Juli;30. Woche, Juli 2021;Sachsen;Befragungsgebiet neue Bundesländer;bis 10 000 Einwohner;etwas
300700;Juli;30. Woche, Juli 2021;Mecklenburg-Vorpommern;Befragungsgebiet neue Bundesländer;bis 2 000 Einwohner;stark
300701;Juli;30. Woche, Juli 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 20 000 Einwohner;Sehr stark
300702;Juli;30. Woche, Juli 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 10 000 Einwohner;Sehr stark
300703;Juli;30. Woche, Juli 2021;Berlin-Ost;Befragungsgebiet neue Bundesländer;über 500 000 Einwohner;etwas
300704;Juli;30. Woche, Juli 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 10 000 Einwohner;Sehr stark
300705;Juli;30. Woche, Juli 2021;Sachsen-Anhalt;Befragungsgebiet neue Bundesländer;bis 50 000 Einwohner;etwas
300706;Juli;30. Woche, Juli 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 50 000 Einwohner;etwas
300707;Juli;30. Woche, Juli 2021;Niedersachsen;Befragungsgebiet alte Bundesländer;bis 5 000 Einwohner;Sehr stark
300708;Juli;30. Woche, Juli 2021;Sachsen-Anhalt;Befragungsgebiet neue Bundesländer;bis 500 000 Einwohner;stark
300709;Juli;30. Woche, Juli 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 100 000 Einwohner;stark
300710;Juli;30. Woche, Juli 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 2 000 Einwohner;etwas
300711;Juli;30. Woche, Juli 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 20 000 Einwohner;etwas
300712;Juli;30. Woche, Juli 2021;Berlin-Ost;Befragungsgebiet neue Bundesländer;über 500 000 Einwohner;Sehr stark
300713;Juli;30. Woche, Juli 2021;Sachsen;Befragungsgebiet neue Bundesländer;bis 5 000 Einwohner;Sehr stark
300714;Juli;30. Woche, Juli 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 5 000 Einwohner;stark
300715;Juli;30. Woche, Juli 2021;Hamburg;Befragungsgebiet alte Bundesländer;über 500 000 Einwohner;etwas
300716;Juli;30. Woche, Juli 2021;Thüringen;Befragungsgebiet neue Bundesländer;bis 20 000 Einwohner;etwas
300717;Juli;30. Woche, Juli 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 20 000 Einwohner;stark
300718;Juli;30. Woche, Juli 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 2 000 Einwohner;etwas
300719;Juli;30. Woche, Juli 2021;Niedersachsen;Befragungsgebiet alte Bundesländer;bis 100 000 Einwohner;Sehr stark
300720;Juli;30. Woche, Juli 2021;Berlin-Ost;Befragungsgebiet neue Bundesländer;über 500 000 Einwohner;etwas
300721;Juli;30. Woche, Juli 2021;Hamburg;Befragungsgebiet alte Bundesländer;über 500 000 Einwohner;stark
300722;Juli;30. Woche, Juli 2021;Saarland;Befragungsgebiet alte Bundesländer;bis 500 000 Einwohner;etwas
300723;Juli;30. Woche, Juli 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 20 000 Einwohner;stark
300724;Juli;30. Woche, Juli 2021;Schleswig-Holstein;Befragungsgebiet alte Bundesländer;bis 10 000 Einwohner;stark
300725;Juli;30. Woche, Juli 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 2 000 Einwohner;gar nicht
300726;Juli;30. Woche, Juli 2021;Rheinland-Pfalz;Befragungsgebiet alte Bundesländer;bis 500 000 Einwohner;stark
300727;Juli;30. Woche, Juli 2021;Mecklenburg-Vorpommern;Befragungsgebiet neue Bundesländer;bis 100 000 Einwohner;Sehr stark
300728;Juli;30. Woche, Juli 2021;Sachsen-Anhalt;Befragungsgebiet neue Bundesländer;bis 5 000 Einwohner;kaum
300729;Juli;30. Woche, Juli 2021;Hamburg;Befragungsgebiet alte Bundesländer;über 500 000 Einwohner;etwas
300730;Juli;30. Woche, Juli 2021;Schleswig-Holstein;Befragungsgebiet alte Bundesländer;bis 5 000 Einwohner;stark
300731;Juli;30. Woche, Juli 2021;Brandenburg;Befragungsgebiet neue Bundesländer;bis 20 000 Einwohner;etwas
300732;Juli;30. Woche, Juli 2021;Niedersachsen;Befragungsgebiet alte Bundesländer;bis 50 000 Einwohner;etwas
300733;Juli;30. Woche, Juli 2021;Niedersachsen;Befragungsgebiet alte Bundesländer;bis 100 000 Einwohner;etwas
300734;Juli;30. Woche, Juli 2021;Saarland;Befragungsgebiet alte Bundesländer;bis 2 000 Einwohner;stark
300735;Juli;30. Woche, Juli 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 100 000 Einwohner;stark
300736;Juli;30. Woche, Juli 2021;Sachsen;Befragungsgebiet neue Bundesländer;bis 10 000 Einwohner;stark
300737;Juli;30. Woche, Juli 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 50 000 Einwohner;stark
300738;Juli;30. Woche, Juli 2021;Sachsen-Anhalt;Befragungsgebiet neue Bundesländer;KA;etwas
300739;Juli;30. Woche, Juli 2021;Berlin-Ost;Befragungsgebiet neue Bundesländer;über 500 000 Einwohner;stark
300740;Juli;30. Woche, Juli 2021;Sachsen;Befragungsgebiet neue Bundesländer;bis 20 000 Einwohner;etwas
300741;Juli;30. Woche, Juli 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 5 000 Einwohner;Sehr stark
300742;Juli;30. Woche, Juli 2021;Niedersachsen;Befragungsgebiet alte Bundesländer;bis 100 000 Einwohner;etwas
300743;Juli;30. Woche, Juli 2021;Sachsen;Befragungsgebiet neue Bundesländer;über 500 000 Einwohner;stark
300744;Juli;30. Woche, Juli 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 10 000 Einwohner;etwas
300745;Juli;30. Woche, Juli 2021;Schleswig-Holstein;Befragungsgebiet alte Bundesländer;bis 500 000 Einwohner;Sehr stark
300746;Juli;30. Woche, Juli 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 5 000 Einwohner;stark
300747;Juli;30. Woche, Juli 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 5 000 Einwohner;etwas
300748;Juli;30. Woche, Juli 2021;Brandenburg;Befragungsgebiet neue Bundesländer;bis 20 000 Einwohner;etwas
300749;Juli;30. Woche, Juli 2021;Mecklenburg-Vorpommern;Befragungsgebiet neue Bundesländer;bis 2 000 Einwohner;etwas
300750;Juli;30. Woche, Juli 2021;Sachsen-Anhalt;Befragungsgebiet neue Bundesländer;bis 500 000 Einwohner;stark
300751;Juli;30. Woche, Juli 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 20 000 Einwohner;stark
300752;Juli;30. Woche, Juli 2021;Brandenburg;Befragungsgebiet neue Bundesländer;bis 10 000 Einwohner;stark
300753;Juli;30. Woche, Juli 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 20 000 Einwohner;stark
300754;Juli;30. Woche, Juli 2021;Brandenburg;Befragungsgebiet neue Bundesländer;bis 2 000 Einwohner;stark
300755;Juli;30. Woche, Juli 2021;Niedersachsen;Befragungsgebiet alte Bundesländer;bis 5 000 Einwohner;kaum
300756;Juli;30. Woche, Juli 2021;Schleswig-Holstein;Befragungsgebiet alte Bundesländer;bis 50 000 Einwohner;Sehr stark
300757;Juli;30. Woche, Juli 2021;Berlin-Ost;Befragungsgebiet neue Bundesländer;über 500 000 Einwohner;stark
300758;Juli;30. Woche, Juli 2021;Sachsen;Befragungsgebiet neue Bundesländer;bis 10 000 Einwohner;stark
300759;Juli;30. Woche, Juli 2021;Berlin-West;Befragungsgebiet alte Bundesländer;über 500 000 Einwohner;Sehr stark
300760;Juli;30. Woche, Juli 2021;Bremen;Befragungsgebiet alte Bundesländer;bis 500 000 Einwohner;stark
300761;Juli;30. Woche, Juli 2021;Brandenburg;Befragungsgebiet neue Bundesländer;bis 20 000 Einwohner;Sehr stark
300762;Juli;30. Woche, Juli 2021;Niedersachsen;Befragungsgebiet alte Bundesländer;KA;etwas
300763;Juli;30. Woche, Juli 2021;Sachsen;Befragungsgebiet neue Bundesländer;bis 50 000 Einwohner;etwas
300764;Juli;30. Woche, Juli 2021;Brandenburg;Befragungsgebiet neue Bundesländer;bis 50 000 Einwohner;stark
300765;Juli;30. Woche, Juli 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 20 000 Einwohner;Sehr stark
300766;Juli;30. Woche, Juli 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 20 000 Einwohner;stark
300767;Juli;30. Woche, Juli 2021;Sachsen;Befragungsgebiet neue Bundesländer;bis 500 000 Einwohner;stark
300768;Juli;30. Woche, Juli 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 100 000 Einwohner;stark
300769;Juli;30. Woche, Juli 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;über 500 000 Einwohner;Sehr stark
300770;Juli;30. Woche, Juli 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 100 000 Einwohner;stark
300771;Juli;30. Woche, Juli 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 20 000 Einwohner;stark
300772;Juli;30. Woche, Juli 2021;Rheinland-Pfalz;Befragungsgebiet alte Bundesländer;bis 5 000 Einwohner;etwas
300773;Juli;30. Woche, Juli 2021;Mecklenburg-Vorpommern;Befragungsgebiet neue Bundesländer;bis 500 000 Einwohner;stark
300774;Juli;30. Woche, Juli 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 100 000 Einwohner;stark
300775;Juli;30. Woche, Juli 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 500 000 Einwohner;Sehr stark
300776;Juli;30. Woche, Juli 2021;Hamburg;Befragungsgebiet alte Bundesländer;über 500 000 Einwohner;stark
300777;Juli;30. Woche, Juli 2021;Berlin-West;Befragungsgebiet alte Bundesländer;über 500 000 Einwohner;stark
300778;Juli;30. Woche, Juli 2021;Sachsen;Befragungsgebiet neue Bundesländer;bis 500 000 Einwohner;stark
300779;Juli;30. Woche, Juli 2021;Sachsen;Befragungsgebiet neue Bundesländer;über 500 000 Einwohner;etwas
300780;Juli;30. Woche, Juli 2021;Brandenburg;Befragungsgebiet neue Bundesländer;bis 2 000 Einwohner;stark
300781;Juli;30. Woche, Juli 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 500 000 Einwohner;etwas
300782;Juli;30. Woche, Juli 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 500 000 Einwohner;stark
300783;Juli;30. Woche, Juli 2021;Brandenburg;Befragungsgebiet neue Bundesländer;bis 10 000 Einwohner;etwas
300784;Juli;30. Woche, Juli 2021;Sachsen-Anhalt;Befragungsgebiet neue Bundesländer;bis 10 000 Einwohner;stark
300785;Juli;30. Woche, Juli 2021;Sachsen;Befragungsgebiet neue Bundesländer;bis 50 000 Einwohner;stark
300786;Juli;30. Woche, Juli 2021;Sachsen-Anhalt;Befragungsgebiet neue Bundesländer;KA;gar nicht
300787;Juli;30. Woche, Juli 2021;Berlin-West;Befragungsgebiet alte Bundesländer;über 500 000 Einwohner;stark
300788;Juli;30. Woche, Juli 2021;Sachsen;Befragungsgebiet neue Bundesländer;bis 10 000 Einwohner;etwas
300789;Juli;30. Woche, Juli 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 50 000 Einwohner;kaum
300790;Juli;30. Woche, Juli 2021;Niedersachsen;Befragungsgebiet alte Bundesländer;bis 50 000 Einwohner;stark
300791;Juli;30. Woche, Juli 2021;Berlin-Ost;Befragungsgebiet neue Bundesländer;über 500 000 Einwohner;etwas
300792;Juli;30. Woche, Juli 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 10 000 Einwohner;stark
300793;Juli;30. Woche, Juli 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 5 000 Einwohner;Sehr stark
300794;Juli;30. Woche, Juli 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 10 000 Einwohner;Sehr stark
300795;Juli;30. Woche, Juli 2021;Brandenburg;Befragungsgebiet neue Bundesländer;bis 500 000 Einwohner;stark
300796;Juli;30. Woche, Juli 2021;Thüringen;Befragungsgebiet neue Bundesländer;bis 5 000 Einwohner;Sehr stark
300797;Juli;30. Woche, Juli 2021;Sachsen;Befragungsgebiet neue Bundesländer;bis 5 000 Einwohner;etwas
300798;Juli;30. Woche, Juli 2021;Hamburg;Befragungsgebiet alte Bundesländer;über 500 000 Einwohner;stark
300799;Juli;30. Woche, Juli 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;über 500 000 Einwohner;Sehr stark
300800;Juli;30. Woche, Juli 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 500 000 Einwohner;Sehr stark
300801;Juli;30. Woche, Juli 2021;Rheinland-Pfalz;Befragungsgebiet alte Bundesländer;bis 2 000 Einwohner;stark
300802;Juli;30. Woche, Juli 2021;Rheinland-Pfalz;Befragungsgebiet alte Bundesländer;bis 5 000 Einwohner;etwas
300803;Juli;30. Woche, Juli 2021;Rheinland-Pfalz;Befragungsgebiet alte Bundesländer;bis 2 000 Einwohner;etwas
300804;Juli;30. Woche, Juli 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 50 000 Einwohner;stark
300805;Juli;30. Woche, Juli 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 20 000 Einwohner;stark
300806;Juli;30. Woche, Juli 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 500 000 Einwohner;stark
300807;Juli;30. Woche, Juli 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 2 000 Einwohner;Sehr stark
300808;Juli;30. Woche, Juli 2021;Sachsen-Anhalt;Befragungsgebiet neue Bundesländer;KA;kaum
300809;Juli;30. Woche, Juli 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 50 000 Einwohner;stark
300810;Juli;30. Woche, Juli 2021;Thüringen;Befragungsgebiet neue Bundesländer;bis 2 000 Einwohner;Sehr stark
300811;Juli;30. Woche, Juli 2021;Berlin-Ost;Befragungsgebiet neue Bundesländer;über 500 000 Einwohner;stark
300812;Juli;30. Woche, Juli 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 50 000 Einwohner;stark
300813;Juli;30. Woche, Juli 2021;Thüringen;Befragungsgebiet neue Bundesländer;bis 20 000 Einwohner;Sehr stark
300814;Juli;30. Woche, Juli 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 2 000 Einwohner;etwas
300815;Juli;30. Woche, Juli 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 10 000 Einwohner;etwas
300816;Juli;30. Woche, Juli 2021;Rheinland-Pfalz;Befragungsgebiet alte Bundesländer;bis 2 000 Einwohner;etwas
300817;Juli;30. Woche, Juli 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;über 500 000 Einwohner;stark
300818;Juli;30. Woche, Juli 2021;Hessen;Befragungsgebiet alte Bundesländer;bis 100 000 Einwohner;stark
300819;Juli;30. Woche, Juli 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 2 000 Einwohner;kaum
300820;Juli;30. Woche, Juli 2021;Sachsen-Anhalt;Befragungsgebiet neue Bundesländer;bis 2 000 Einwohner;Sehr stark
300821;Juli;30. Woche, Juli 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 5 000 Einwohner;etwas
300822;Juli;30. Woche, Juli 2021;Brandenburg;Befragungsgebiet neue Bundesländer;KA;kaum
300823;Juli;30. Woche, Juli 2021;Berlin-Ost;Befragungsgebiet neue Bundesländer;über 500 000 Einwohner;stark
300824;Juli;30. Woche, Juli 2021;Rheinland-Pfalz;Befragungsgebiet alte Bundesländer;bis 10 000 Einwohner;stark
300825;Juli;30. Woche, Juli 2021;Thüringen;Befragungsgebiet neue Bundesländer;bis 5 000 Einwohner;stark
300826;Juli;30. Woche, Juli 2021;Rheinland-Pfalz;Befragungsgebiet alte Bundesländer;bis 2 000 Einwohner;kaum
300827;Juli;30. Woche, Juli 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 50 000 Einwohner;stark
300828;Juli;30. Woche, Juli 2021;Sachsen;Befragungsgebiet neue Bundesländer;bis 500 000 Einwohner;Sehr stark
300829;Juli;30. Woche, Juli 2021;Thüringen;Befragungsgebiet neue Bundesländer;bis 100 000 Einwohner;stark
300830;Juli;30. Woche, Juli 2021;Schleswig-Holstein;Befragungsgebiet alte Bundesländer;über 500 000 Einwohner;Sehr stark
300831;Juli;30. Woche, Juli 2021;Niedersachsen;Befragungsgebiet alte Bundesländer;über 500 000 Einwohner;etwas
300832;Juli;30. Woche, Juli 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 500 000 Einwohner;stark
300833;Juli;30. Woche, Juli 2021;Hessen;Befragungsgebiet alte Bundesländer;bis 50 000 Einwohner;stark
300834;Juli;30. Woche, Juli 2021;Sachsen;Befragungsgebiet neue Bundesländer;bis 20 000 Einwohner;kaum
300835;Juli;30. Woche, Juli 2021;Niedersachsen;Befragungsgebiet alte Bundesländer;bis 50 000 Einwohner;stark
300836;Juli;30. Woche, Juli 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 20 000 Einwohner;etwas
300837;Juli;30. Woche, Juli 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 20 000 Einwohner;stark
300838;Juli;30. Woche, Juli 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 100 000 Einwohner;etwas
300839;Juli;30. Woche, Juli 2021;Sachsen;Befragungsgebiet neue Bundesländer;bis 5 000 Einwohner;Sehr stark
300840;Juli;30. Woche, Juli 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 500 000 Einwohner;stark
300841;Juli;30. Woche, Juli 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 500 000 Einwohner;stark
300842;Juli;30. Woche, Juli 2021;Brandenburg;Befragungsgebiet neue Bundesländer;bis 20 000 Einwohner;stark
300843;Juli;30. Woche, Juli 2021;Brandenburg;Befragungsgebiet neue Bundesländer;KA;stark
300844;Juli;30. Woche, Juli 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 500 000 Einwohner;stark
300845;Juli;30. Woche, Juli 2021;Mecklenburg-Vorpommern;Befragungsgebiet neue Bundesländer;bis 10 000 Einwohner;Sehr stark
300846;Juli;30. Woche, Juli 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 5 000 Einwohner;etwas
300847;Juli;30. Woche, Juli 2021;Niedersachsen;Befragungsgebiet alte Bundesländer;bis 20 000 Einwohner;kaum
300848;Juli;30. Woche, Juli 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 2 000 Einwohner;stark
300849;Juli;30. Woche, Juli 2021;Sachsen;Befragungsgebiet neue Bundesländer;bis 5 000 Einwohner;stark
300850;Juli;30. Woche, Juli 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 20 000 Einwohner;kaum
300851;Juli;30. Woche, Juli 2021;Sachsen;Befragungsgebiet neue Bundesländer;über 500 000 Einwohner;stark
300852;Juli;30. Woche, Juli 2021;Thüringen;Befragungsgebiet neue Bundesländer;bis 50 000 Einwohner;stark
300853;Juli;30. Woche, Juli 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 50 000 Einwohner;Sehr stark
300854;Juli;30. Woche, Juli 2021;Brandenburg;Befragungsgebiet neue Bundesländer;bis 5 000 Einwohner;Sehr stark
300855;Juli;30. Woche, Juli 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 100 000 Einwohner;etwas
300856;Juli;30. Woche, Juli 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 10 000 Einwohner;stark
300857;Juli;30. Woche, Juli 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 50 000 Einwohner;etwas
300858;Juli;30. Woche, Juli 2021;Sachsen;Befragungsgebiet neue Bundesländer;bis 10 000 Einwohner;etwas
300859;Juli;30. Woche, Juli 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 50 000 Einwohner;stark
300860;Juli;30. Woche, Juli 2021;Hessen;Befragungsgebiet alte Bundesländer;bis 2 000 Einwohner;stark
300861;Juli;30. Woche, Juli 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 20 000 Einwohner;stark
300862;Juli;30. Woche, Juli 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 100 000 Einwohner;Sehr stark
300863;Juli;30. Woche, Juli 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 500 000 Einwohner;stark
300864;Juli;30. Woche, Juli 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;über 500 000 Einwohner;stark
300865;Juli;30. Woche, Juli 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;KA;stark
300866;Juli;30. Woche, Juli 2021;Berlin-Ost;Befragungsgebiet neue Bundesländer;über 500 000 Einwohner;etwas
300867;Juli;30. Woche, Juli 2021;Sachsen;Befragungsgebiet neue Bundesländer;über 500 000 Einwohner;Sehr stark
300868;Juli;30. Woche, Juli 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 50 000 Einwohner;stark
300869;Juli;30. Woche, Juli 2021;Sachsen-Anhalt;Befragungsgebiet neue Bundesländer;bis 2 000 Einwohner;etwas
300870;Juli;30. Woche, Juli 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 50 000 Einwohner;stark
300871;Juli;30. Woche, Juli 2021;Sachsen;Befragungsgebiet neue Bundesländer;bis 500 000 Einwohner;etwas
300872;Juli;30. Woche, Juli 2021;Hessen;Befragungsgebiet alte Bundesländer;bis 20 000 Einwohner;stark
300873;Juli;30. Woche, Juli 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;KA;kaum
300874;Juli;30. Woche, Juli 2021;Berlin-West;Befragungsgebiet alte Bundesländer;über 500 000 Einwohner;Sehr stark
300875;Juli;30. Woche, Juli 2021;Brandenburg;Befragungsgebiet neue Bundesländer;bis 2 000 Einwohner;etwas
300876;Juli;30. Woche, Juli 2021;Hessen;Befragungsgebiet alte Bundesländer;bis 50 000 Einwohner;stark
300877;Juli;30. Woche, Juli 2021;Baden-Württemberg;Befragungsgebiet alte Bundesländer;bis 50 000 Einwohner;Sehr stark
300878;Juli;30. Woche, Juli 2021;Sachsen-Anhalt;Befragungsgebiet neue Bundesländer;bis 2 000 Einwohner;etwas
300879;Juli;30. Woche, Juli 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 20 000 Einwohner;etwas
300880;Juli;30. Woche, Juli 2021;Sachsen;Befragungsgebiet neue Bundesländer;bis 50 000 Einwohner;etwas
300881;Juli;30. Woche, Juli 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 20 000 Einwohner;KA
300882;Juli;30. Woche, Juli 2021;Niedersachsen;Befragungsgebiet alte Bundesländer;bis 100 000 Einwohner;etwas
300883;Juli;30. Woche, Juli 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 500 000 Einwohner;etwas
